ID;AUTHORS;CATEGORY;TITLE
1;Marx, Soru, Esteves, Ngonga Ngomo, Lehmann. ;Demo ;An Open Question Answering Framework
2;Perera, Nand, Klette. ;Poster ;RealText-lex: A Lexicalization Framework for Linked Open Data
3;Kim, Choi, Yi. ;Poster ;Improving Knowledge Validation using Objectivity and Corroborativeness of Web Resources
4;Kimura, Kawamura, Watanabe, Matsumoto, Sato, Kushida, Matsumura. ;Poster ;J-GLOBAL knowledge: Japan's Largest Linked Open Data for Science and Technology
6;Dragoni, Petrucci. ;Poster ;Supporting Multilingual Ontology Matching With MoKi
7;Gao, Chen, Atzori, Gu, Zaniolo. ;Demo ;SPARQLT and its User-Friendly Interface for Managing and Querying the History of RDF Knowledge Bases
9;Zhao, Ichise, Mita, Sasaki. ;Poster ;Core Ontologies for Safe Autonomous Driving
10;Hur, Shin, Eom, Song, Lee. ;Poster ;Semantically Enriched IoT gateway for Wearable Devices
11;Arcan, Asooja, Ziad, Buitelaar. ;Demo ;OTTO - Ontology Translation System
14;Hu, Janowicz, Hitzler, Sengupta. ;Poster ;The Semantic Web Journal as Linked Data
15;Saleem, Mehmood, Ngonga Ngomo. ;Demo ;Automatic SPARQL Benchmark Generation Using FEASIBLE
16;Yao, Liu, Wang, Wei, Chen. ;Demo ;ANNA: Answering Why-Not Questions for SPARQL
19;Vigo, Bellahsene, Ienco, Todorov. ;Demo ;Twitter Event Detection and Modeling with TEWS
20;Saleem, Ali, Hogan, Mehmood, Ngonga Ngomo. ;Poster ;The LSQ Dataset: Querying for Queries
21;Kotzyba, Ponomaryov, Low, Thiel, Glimm, Nürnberger. ;Demo ;Ontology-supported Exploratory Search for Physical Training Exercises
22;Jimenez-Ruiz, Kharlamov, Zheleznyakov, Horrocks, Pinkel, Skjæveland, Thorstensen, Mora. ;Demo ;BootOX: Bootstrapping OWL 2 ontologies and R2RML mappings from Relational Databases
23;Kharlamov, Brandt, Giese, Jimenez-Ruiz, Lamparter, Neuenstadt, Özcep, Pinkel, Soylu, Zheleznyakov, Roshchin, Watson, Horrocks. ;Demo ;Semantic Access to Siemens Streaming Data: the Optique Way
24;Kharlamov, Jimenez-Ruiz, Pinkel, Rezk, Skjæveland, Soylu, Xiao, Zheleznyakov, Giese, Horrocks, Waaler. ;Demo ;Optique: Ontology-Based Data Access Platform
25;Potoniec, Madziar. ;Poster ;Towards Memory-Efficient Answering of Tree-Shaped SPARQL Queries Using GPUs
26;Roussakis, Chrysakis, Stefanidis, Flouris. ;Demo ;D2V: A Tool for Defining, Detecting and Visualizing Changes on the Data Web
27;Darari, Prasojo, Nutt. ;Poster ;Expressing No-Value Information in RDF
28;Colpaert, Llaves, Verborgh, Corcho, Mannens, Van de Walle. ;Demo ;Intermodal public transit routing using Linked Connections
29;Farvardin, Kergosien, Roche, Teisseire. ;Demo ;A webtool for analyzing land-use planning documents
32;Ben Ellefi, Bellahsene, Todorov. ;Demo ;Datavore: A Vocabulary Recommender Tool Assisting Linked Data Modeling
33;Plu, Rizzo, Troncy. ;Poster ;An Experimental Study of a Hybrid Entity Recognition and Linking System
34;Nguyen, Ichise. ;Poster ;ScSLINT: Time and Memory E_cient Interlinking Framework for Linked Data
35;Nguyen, Ichise. ;Poster ;A Heuristic Approach for Conﬁguration Learning of Supervised Instance Matching
36;Chawuthai, Takeda. ;Demo ;rSim: Simplifying an RDF Graph at the Visualization Tier for Non-Expert Users
37;Tran, Um, Song. ;Poster ;Matrix Completion for Storm Damages Prediction
39;Attard, Orlandi, Auer. ;Demo ;ExConQuer Framework - Softening RDF Data to Enhance Linked Data Reuse
40;Wang, Feng, Rao, Wang, Zhang. ;Poster ;From Datalog Reasoning to Modular Structure of an Ontology
41;Daga, Panziera, Pedrinaci. ;Demo ;BASIL: A Cloud Platform for Sharing and Reusing SPARQL Queries as Web APIs
43;Saveta, Daskalaki, Flouris, Fundulaki, Ngonga Ngomo. ;Demo ;LANCE: A Generic Benchmark Generator for Linked Data
